CA,openssl_acc,openssl_reason,polarssl_acc,polarssl_reason,gnutls_acc,gnutls_reason,matrix_acc,matrix_reason,cons
103.14.245.12,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
103.243.34.100,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
103.6.117.3,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
103.6.182.20,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
106.120.151.163,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
107.162.132.18,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
107.20.149.245,F," 18 at 0 depth lookup:self signed certificate

",F," parsing errors
parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
107.20.160.98,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
107.20.222.205,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
107.20.233.245,F," 18 at 0 depth lookup:self signed certificate

",F," parsing errors
parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
107.21.206.15,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
107.21.208.133,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
107.21.253.236,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
107.22.185.97,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
107.22.192.88,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
107.22.196.29,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
107.23.149.49,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
107.23.239.20,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
107.23.7.117,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
107.6.92.141,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," parsing errors

",1
108.160.166.62,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
108.166.31.242,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," parsing errors

",1
108.168.157.82,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," parsing errors

",F," parsing errors

",1
108.168.160.69,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
108.168.208.206,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
108.168.209.242,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
108.168.254.43,F," 18 at 0 depth lookup:self signed certificate

",F," parsing errors
parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
108.171.164.204,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
109.163.226.148,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
109.233.157.1,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
110.45.229.152,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," parsing errors

",F," parsing errors

",1
110.75.80.57,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
111.30.131.20,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
113.196.42.30,F," 18 at 0 depth lookup:self signed certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
113.23.145.220,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
114.31.104.56,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," parsing errors

",F," parsing errors

",1
117.79.157.225,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
119.161.212.87,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
119.226.139.40,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
12.129.242.30,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
12.169.195.150,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
12.175.178.118,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
120.138.69.70,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
123.125.116.19,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
123.176.40.18,F," 20 at 0 depth lookup: unable to get local issuer certificate

",T,None,T,None,F," Auth Key / Subject Key Match

",0
123.58.180.7,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
124.153.64.100,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
124.153.70.108,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
124.153.79.179,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
125.21.240.13,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
129.42.38.1,T,None,F," parsing errors
parsing errors

",T,None,F," Auth Key / Subject Key Match

",0
132.248.10.44,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
137.117.90.63,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
137.117.99.85,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
137.135.129.175,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
137.135.43.248,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
137.188.80.90,F," 18 at 0 depth lookup:self signed certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
137.254.120.50,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
137.254.60.6,F," 20 at 0 depth lookup: unable to get local issuer certificate

",T,None,T,None,F," Auth Key / Subject Key Match

",0
140.168.129.72,F," 18 at 0 depth lookup:self signed certificate

",F," parsing errors
parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
140.211.10.16,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
140.211.11.131,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors
parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
141.101.112.16,T,None,T,None,T,None,T,None,1
141.101.112.227,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
141.101.112.56,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
141.101.113.240,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
141.101.114.26,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
141.101.114.6,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
141.101.123.113,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
141.101.123.93,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
141.101.127.158,F," 20 at 0 depth lookup: unable to get local issuer certificate

",T,None,F," The certificate issuer is unknown
unknown reason

",F," Auth Key / Subject Key Match

",0
141.101.127.161,T,None,F," parsing errors
parsing errors

",T,None,T,None,0
141.138.130.12,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
143.166.83.38,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
144.160.36.42,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
144.63.250.10,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
146.185.29.13,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
147.243.14.149,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
147.67.119.2,T,None,T,None,T,None,F," Auth Key / Subject Key Match

",0
