CA,openssl_acc,openssl_reason,polarssl_acc,polarssl_reason,gnutls_acc,gnutls_reason,matrix_acc,matrix_reason,cons
0,T,None,T,None,T,None,T,None,1
1,T,None,T,None,T,None,T,None,1
10,T,None,T,None,T,None,T,None,1
100,T,None,T,None,T,None,T,None,1
1000,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
10000,F," unexpected reason

",F," parsing errors

",F," not CA
unknown reason

",F," parsing errors

",1
10001,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
10002,F," unexpected reason

",F," parsing errors

",F," not CA
unknown reason

",F," parsing errors

",1
10003,T,None,T,None,F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",0
10004,T,None,T,None,T,None,T,None,1
10005,T,None,T,None,F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",0
10006,F," unexpected reason

",F," parsing errors

",F," parsing errors

",F," parsing errors

",1
10007,T,None,T,None,F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",0
10008,F," 18 at 0 depth lookup:self signed certificate

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
10009,T,None,T,None,F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",0
1001,F," 18 at 0 depth lookup:self signed certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
10010,F," unexpected reason

",F," parsing errors

",F," not CA
unknown reason

",F," parsing errors

",1
10011,F," unexpected reason

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
10012,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," The certificate issuer is unknown
unknown reason

",F," parsing errors

",1
10013,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," basic constraints

",1
10014,F," unexpected reason

",F," parsing errors

",F," not CA
unknown reason

",F," parsing errors

",1
